age,fare,family_size,sibsp,parch,fare_per_person,embarked_C,embarked_Q,embarked_S,pclass_1.0,pclass_2.0,pclass_3.0,class_First,class_Second,class_Third,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,age_group_Adult,age_group_Child,age_group_Teen,sex,is_alone,survived
0.37500000000000006,0.014151057562208049,0.1,0.125,0.0,0.0070755287811040245,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.0
0.6826923076923077,0.13913573538264068,0.1,0.125,0.0,0.06956786769132034,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1.0
0.4519230769230769,0.015468569817999833,0.0,0.0,0.0,0.015468569817999833,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1.0
0.625,0.10364429745562033,0.1,0.125,0.0,0.051822148727810165,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1.0
0.625,0.015712553569072387,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0
0.5230599547511311,0.01650950209357577,0.0,0.0,0.0,0.01650950209357577,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0
0.9903846153846154,0.10122885832000206,0.0,0.0,0.0,0.10122885832000206,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0
0.0,0.04113566043083236,0.4,0.375,0.16666666666666666,0.008227132086166471,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0
0.4711538461538462,0.021730754366528396,0.20000000000000004,0.0,0.3333333333333333,0.007243584788842798,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1.0
0.2211538461538462,0.058694292654020104,0.1,0.125,0.0,0.029347146327010052,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0
0.028846153846153848,0.03259622914329302,0.20000000000000004,0.125,0.16666666666666666,0.010865409714431007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,1.0
