survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
-0.7892723355548015,0.8273772438659699,male,-0.6119166323502879,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,S,Third,man,True,C,Southampton,no,False
1.266989801811655,-1.5661069258891576,female,0.7153043494803103,0.4327933656785018,-0.4736736092984604,0.7868452935884461,C,First,woman,False,C,Cherbourg,yes,False
1.266989801811655,0.8273772438659699,female,-0.2801113868926384,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,S,Third,woman,False,C,Southampton,yes,True
1.266989801811655,-1.5661069258891576,female,0.4664504153870731,0.4327933656785018,-0.4736736092984604,0.4207302360686478,S,First,woman,False,C,Southampton,yes,False
-0.7892723355548015,0.8273772438659699,male,0.4664504153870731,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,S,Third,man,True,C,Southampton,no,True
-0.7892723355548015,0.8273772438659699,male,0.02673527282213031,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,Q,Third,man,True,C,Queenstown,no,True
-0.7892723355548015,-1.5661069258891576,male,2.0425253313109084,-0.47454519624983954,-0.4736736092984604,0.395813560675251,S,First,man,True,E,Southampton,no,True
-0.7892723355548015,0.8273772438659699,male,-2.2294672039563297,2.2474704895351842,0.7676298785983874,-0.22408312108167944,S,Third,child,False,C,Southampton,no,False
1.266989801811655,0.8273772438659699,female,-0.19716007552822604,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,S,Third,woman,False,C,Southampton,yes,False
1.266989801811655,-0.3693648410115938,female,-1.2755271232655871,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,C,Second,child,False,C,Cherbourg,yes,False
1.266989801811655,0.8273772438659699,female,-2.105040236909711,0.4327933656785018,0.7676298785983874,-0.312172377522981,S,Third,child,False,G,Southampton,yes,False
1.266989801811655,-1.5661069258891576,female,2.084000986993115,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,S,First,woman,False,C,Southampton,yes,True
-0.7892723355548015,0.8273772438659699,male,-0.7778192550791128,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,S,Third,man,True,C,Southampton,no,True
-0.7892723355548015,0.8273772438659699,male,0.7982556608447227,0.4327933656785018,5.73284383018578,-0.01870931177853076,S,Third,man,True,C,Southampton,no,False
-0.7892723355548015,0.8273772438659699,female,-1.2755271232655871,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,S,Third,child,False,C,Southampton,no,True
1.266989801811655,-0.3693648410115938,female,2.084000986993115,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,S,Second,woman,False,C,Southampton,yes,True
